YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,EMISSIONS,COMB (km/L),CITY (km/L),HWY (km/L)
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,322,7.142857142857143,6.410256410256411,8.333333333333334
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,M5,X,359,6.410256410256411,5.4945054945054945,8.0
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,331,6.944444444444445,6.172839506172839,8.130081300813007
2000,CHEVROLET,K1500 TAHOE 4X4,SUV - STANDARD,5.7,8,A4,X,382,6.024096385542168,5.2356020942408374,7.352941176470589
2000,CHEVROLET,LUMINA/MONTE CARLO,MID-SIZE,3.4,6,A4,X,228,10.1010101010101,8.264462809917356,13.88888888888889
2000,CHEVROLET,LUMINA/MONTE CARLO,MID-SIZE,3.8,6,A4,X,228,10.1010101010101,8.333333333333334,13.513513513513512
2000,CHEVROLET,MALIBU,MID-SIZE,3.1,6,A4,X,223,10.309278350515465,8.620689655172415,13.698630136986301
2000,CHEVROLET,METRO,SUBCOMPACT,1.0,3,M5,X,122,18.867924528301888,16.666666666666668,22.22222222222222
2000,CHEVROLET,METRO,SUBCOMPACT,1.3,4,A3,X,163,14.084507042253522,12.820512820512821,16.129032258064516
2000,CHEVROLET,METRO,SUBCOMPACT,1.3,4,M5,X,131,17.543859649122805,15.625,20.408163265306122
2000,CHEVROLET,NEW C1500 SUBURBAN,SUV - STANDARD,5.3,8,A4,X,345,6.666666666666667,5.847953216374268,8.0
2000,CHEVROLET,NEW C1500 TAHOE,SUV - STANDARD,4.8,8,A4,X,345,6.666666666666667,5.91715976331361,7.874015748031496
2000,CHEVROLET,NEW C1500 TAHOE,SUV - STANDARD,5.3,8,A4,X,345,6.666666666666667,5.847953216374268,8.0
2000,CHEVROLET,NEW K1500 TAHOE 4X4,SUV - STANDARD,4.8,8,A4,X,345,6.666666666666667,5.91715976331361,7.874015748031496
2000,CHEVROLET,NEW K1500 TAHOE 4X4,SUV - STANDARD,5.3,8,A4,X,347,6.622516556291391,5.847953216374268,7.936507936507937
2000,CHEVROLET,S10,PICKUP TRUCK - SMALL,2.2,4,A4,X,242,9.523809523809524,8.130081300813007,11.904761904761905
2000,CHEVROLET,S10,PICKUP TRUCK - SMALL,2.2,4,M5,X,214,10.75268817204301,9.25925925925926,13.513513513513512
2000,CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,A4,X,276,8.333333333333334,7.246376811594202,10.309278350515465
2000,CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,M5,X,283,8.130081300813007,6.944444444444445,10.309278350515465
2000,CHEVROLET,S10 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,304,7.575757575757576,6.622516556291391,9.174311926605505
2000,CHEVROLET,S10 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,290,7.936507936507937,6.8493150684931505,9.900990099009901
2000,CHEVROLET,TRACKER 4X4,SUV - STANDARD,2.0,4,A4,X,216,10.638297872340425,9.70873786407767,12.048192771084336
2000,CHEVROLET,TRACKER 4X4,SUV - STANDARD,2.0,4,M5,X,221,10.416666666666668,9.523809523809524,11.764705882352942
2000,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV - STANDARD,1.6,4,M5,X,196,11.764705882352942,10.869565217391305,13.157894736842106
2000,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV - STANDARD,2.0,4,A4,X,216,10.638297872340425,9.70873786407767,11.904761904761905
2000,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV - STANDARD,2.0,4,M5,X,221,10.416666666666668,9.523809523809524,11.764705882352942
2000,CHEVROLET,VENTURE,MINIVAN,3.4,6,A4,X,246,9.345794392523365,8.0,11.904761904761905
2000,CHRYSLER,300M,FULL-SIZE,3.5,6,AS4,X,246,9.345794392523365,7.8125,12.195121951219512
2000,CHRYSLER,CIRRUS,MID-SIZE,2.4,4,A4,X,232,9.900990099009901,8.403361344537815,12.820512820512821
2000,CHRYSLER,CIRRUS,MID-SIZE,2.5,6,A4,X,235,9.803921568627452,8.264462809917356,12.658227848101266
2000,CHRYSLER,CONCORDE,FULL-SIZE,2.7,6,A4,X,225,10.204081632653061,8.547008547008547,13.333333333333334
2000,CHRYSLER,CONCORDE,FULL-SIZE,3.2,6,A4,X,242,9.523809523809524,7.936507936507937,12.658227848101266
2000,CHRYSLER,INTREPID,FULL-SIZE,2.7,6,A4,X,225,10.204081632653061,8.547008547008547,13.333333333333334
2000,CHRYSLER,INTREPID,FULL-SIZE,2.7,6,AS4,X,225,10.204081632653061,8.547008547008547,13.513513513513512
2000,CHRYSLER,INTREPID,FULL-SIZE,3.2,6,AS4,X,239,9.615384615384615,7.936507936507937,12.820512820512821
2000,CHRYSLER,INTREPID,FULL-SIZE,3.5,6,AS4,X,246,9.345794392523365,7.8125,12.195121951219512
2000,CHRYSLER,LHS,FULL-SIZE,3.5,6,A4,X,251,9.174311926605505,7.633587786259542,12.048192771084336
2000,CHRYSLER,NEON,COMPACT,2.0,4,A3,X,193,11.904761904761905,10.526315789473685,14.285714285714286
2000,CHRYSLER,NEON,COMPACT,2.0,4,M5,X,170,13.513513513513512,12.048192771084336,16.129032258064516
